phase,start_ms,end_ms,note
baseline,1786755524774,1786755644808,pre
cell_Q4_0_t1,1786755645704,1786755692340,rep1;temp_start=33.9;temp_end=34.0
cooldown,1786755693019,1786755783086,Q4_0_t1_rep1
cell_Q4_0_t1,1786755783778,1786755834981,rep2;temp_start=33.9;temp_end=34.1
cooldown,1786755836039,1786755926115,Q4_0_t1_rep2
cell_Q4_0_t1,1786755926688,1786755968882,rep3;temp_start=34.2;temp_end=34.6
cooldown,1786755969547,1786756059627,Q4_0_t1_rep3
cell_Q4_0_t1,1786756060569,1786756113455,rep4;temp_start=34.6;temp_end=35.1
cooldown,1786756114402,1786756204472,Q4_0_t1_rep4
cell_Q4_0_t1,1786756205038,1786756253843,rep5;temp_start=34.9;temp_end=35.3
cooldown,1786756254583,1786756344640,Q4_0_t1_rep5
cell_Q4_0_t4,1786756345262,1786756369140,rep1;temp_start=35.2;temp_end=34.6
cooldown,1786756369817,1786756459909,Q4_0_t4_rep1
cell_Q4_0_t4,1786756460803,1786756482252,rep2;temp_start=33.8;temp_end=33.6
cooldown,1786756483223,1786756573287,Q4_0_t4_rep2
cell_Q4_0_t4,1786756573982,1786756596318,rep3;temp_start=33.2;temp_end=32.9
cooldown,1786756596947,1786756687036,Q4_0_t4_rep3
cell_Q4_0_t4,1786756687916,1786756710353,rep4;temp_start=32.7;temp_end=32.8
cooldown,1786756711394,1786756801454,Q4_0_t4_rep4
cell_Q4_0_t4,1786756802306,1786756823653,rep5;temp_start=32.1;temp_end=32.2
cooldown,1786756824624,1786756914730,Q4_0_t4_rep5
cell_Q4_0_t8,1786756915803,1786756950017,rep1;temp_start=31.9;temp_end=32.1
cooldown,1786756950915,1786757040985,Q4_0_t8_rep1
cell_Q4_0_t8,1786757041595,1786757072583,rep2;temp_start=31.9;temp_end=33.0
cooldown,1786757073285,1786757163360,Q4_0_t8_rep2
cell_Q4_0_t8,1786757164026,1786757194162,rep3;temp_start=32.6;temp_end=33.1
cooldown,1786757194831,1786757284933,Q4_0_t8_rep3
cell_Q4_0_t8,1786757285880,1786757319492,rep4;temp_start=32.6;temp_end=32.9
cooldown,1786757320326,1786757410407,Q4_0_t8_rep4
cell_Q4_0_t8,1786757411453,1786757445731,rep5;temp_start=32.5;temp_end=32.6
cooldown,1786757446722,1786757536809,Q4_0_t8_rep5
cell_Q8_0_t4,1786757537873,1786757574845,rep1;temp_start=32.3;temp_end=32.7
cooldown,1786757575806,1786757665942,Q8_0_t4_rep1
